Canagagigue Creek data species extracted by OCR and pa written by hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total,NA,14,11,10,18,14,12,17,16,13,27,17,10,16,15,23,22,14,15,15,18,4,15,16,2,12,15,20,22,24
regional,species,66 A,80 A,95 A,66 B,80 B,95 B,66 C,80 C,95 C,66 D,80 D,95 D,80 E,95 E,66 F,80 F,95 F,66 G,80 G,95 G,66 H,80 H,95 H,66 I,80 I,95 I,66 J,80 J,95 J
Canagagigue Creek,creek chub,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1
Canagagigue Creek,pearl dace,,,,1,,,,,,1,,,,,1,1,1,,,1,1,,1,,,,1,,
Canagagigue Creek,common shiner,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,,,,,1,,,,
Canagagigue Creek,striped shiner,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,
Canagagigue Creek,rosyface shiner,,,,,,,,,,1,,,,,1,1,,,,,,,,,1,,1,1,1
Canagagigue Creek,blacknose shiner,,,,1,,,,,,1,1,,,,1,,,,,,,,,,,,,,
Canagagigue Creek,golden shiner,,,,,,,1,1,,1,1,,1,1,1,1,1,,1,1,,,,,,,1,,
Canagagigue Creek,hornyhead chub,1,1,,1,1,,1,1,,1,,,,,1,1,1,1,,,,,,,,1,1,1,1
Canagagigue Creek,river chub,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,1,1,1
Canagagigue Creek,blacknose dace,1,1,1,1,1,1,1,1,1,1,1,,,,1,,,,1,1,,,,,,1,1,1,1
Canagagigue Creek,longnose dace,,,,,,,,,,,1,1,1,1,,1,1,,,1,,1,1,,1,1,1,1,1
Canagagigue Creek,northern redbelly dace,1,1,1,,,,,,,1,,,,,1,,,1,,,,,,,,,,,
Canagagigue Creek,brassy minnow,,,,,,,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,1,1,1,1
Canagagigue Creek,bluntnose minnow,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1
Canagagigue Creek,fathead minnow,1,1,1,1,1,1,1,1,1,1,,,,,,1,1,1,1,1,,1,1,,,,1,,
Canagagigue Creek,common carp,,,,,,,1,1,1,1,1,1,1,1,,1,1,,,,,1,1,1,1,1,1,1,1
Canagagigue Creek,blackside darter,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
Canagagigue Creek,fantail darter,1,,,1,,,1,1,,1,,,,,1,1,,1,1,1,,1,,,1,,1,,
Canagagigue Creek,rainbow darter,1,,,1,1,1,1,1,1,1,,,,,1,1,,1,1,1,,1,,,1,,,,1
Canagagigue Creek,Johnny darter,1,1,1,1,1,1,1,1,1,1,,,,,1,1,,1,1,1,,1,1,,,1,,1,
Canagagigue Creek,lowa darter,,,1,1,1,1,1,1,1,1,1,,1,1,,1,,,1,1,,,,,,1,,1,1
Canagagigue Creek,least darter,,,,,,,1,,,1,,,,,1,,,1,,,,,,,,,,,
Canagagigue Creek,greenside darter,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1
Canagagigue Creek,yellow perch,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
Canagagigue Creek,rock bass,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,,1,1,1
Canagagigue Creek,smallmouth bass,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,1,1
Canagagigue Creek,pumpkinseed sunfish,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,
Canagagigue Creek,common white sucker,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1
Canagagigue Creek,northern hognose sucker,,,,,,,,,,1,1,,,,1,1,,,,,,1,,,,,,1,1
Canagagigue Creek,golden redhorse,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Canagagigue Creek,greater redhorse sucker,,,,,,,,,,1,1,1,1,1,1,1,,,,,,1,1,,,,,1,1
Canagagigue Creek,brook stickleback,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,1
Canagagigue Creek,northern pike,,,,,,,,,,1,,,1,1,1,,,,,,,,1,,1,1,1,1,1
Canagagigue Creek,stonecat,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,1,1,1
Canagagigue Creek,brown bulihead,,,,,,,,,,,1,1,1,1,,1,1,,,,1,1,1,,,1,1,1,1
Canagagigue Creek,mottled sculpin,1,,,1,1,1,,,,1,,,1,1,,,,,,,,,,,,,,,
Canagagigue Creek,brook trout,,,,1,1,1,,,,1,1,,,,1,,,,,,,,,,,1,,,
Canagagigue Creek,rainbow trout,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,
Canagagigue Creek,brown trout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
