Carroll Creek data species extracted by OCR and pa written by hand,,,,,,,
total,NA,26,25,30,27,27,29
regional,species,75 U,85 U,95 U,75 L,85 L,95 L
Carroll Creek,creek chub,1,1,1,1,1,1
Carroll Creek,pearl dace,1,1,1,,,
Carroll Creek,common shiner,1,1,1,1,1,1
Carroll Creek,striped shiner,1,1,1,1,1,1
Carroll Creek,rosyface shiner,,,,1,1,1
Carroll Creek,blacknose shiner,1,,,1,,
Carroll Creek,golden shiner,1,1,1,1,1,1
Carroll Creek,hornyhead chub,1,1,1,1,1,1
Carroll Creek,river chub,1,1,1,1,1,1
Carroll Creek,blacknose dace,1,1,1,1,1,1
Carroll Creek,longnose dace,1,1,1,1,1,1
Carroll Creek,northern redbelly dace,1,1,1,,,
Carroll Creek,brassy minnow,,,,,1,1
Carroll Creek,bluntnose minnow,1,1,1,1,1,1
Carroll Creek,fathead minnow,1,1,1,1,1,1
Carroll Creek,central stoneroller,,,1,,,
Carroll Creek,blackside darter,,,,1,1,1
Carroll Creek,fantail darter,1,1,1,1,1,1
Carroll Creek,rainbow darter,1,1,1,1,1,1
Carroll Creek,Johnny darter,1,1,1,1,1,1
Carroll Creek,Iowa darter,1,1,1,1,1,1
Carroll Creek,least darter,1,1,1,,,
Carroll Creek,greenside darter,,,1,,,1
Carroll Creek,yellow perch,,,1,,,1
Carroll Creek,rock bass,1,1,1,1,1,1
Carroll Creek,smallmouth bass,,,,1,1,1
Carroll Creek,largemouth bass,,,1,,,
Carroll Creek,common white sucker,1,1,1,1,1,1
Carroll Creek,northern hognose sucker,1,1,1,1,1,1
Carroll Creek,greater redhorse sucker,,,,1,1,1
Carroll Creek,brook stickleback,1,1,1,1,1,1
Carroll Creek,northern pike,,,,1,1,1
Carroll Creek,stonecat,,,,1,1,1
Carroll Creek,brown bullhead,1,1,1,1,1,1
Carroll Creek,mottled sculpin,1,1,1,,,
Carroll Creek,brook lamprey,1,1,1,,,
Carroll Creek,brook trout,1,1,1,1,1,
Carroll Creek,brown trout,,,1,,,1
