extraction of the table 1 from List of U.S. state and territory abbreviations Wikipedia article (https://en.wikipedia.org/wiki/List_of_U.S._state_and_territory_abbreviations#Table) + exraction of table 1 https://en.wikipedia.org/wiki/List_of_state_capitols_in_the_United_States for Location										
Name of region	Status of region	ISO	ANSI	ANSI	USPS	USCG	GPO	AP	Otherabbreviations	Location
Oregon	State	US-OR	OR	41	OR	OR	Oreg.	Ore.		Salem44°56?19.43?N 123°1?48.35?W? / ?44.9387306°N 123.0300972°W
Pennsylvania	State	US-PA	PA	42	PA	PA	Pa.	Pa.	"Penn.[1], Penna."	Harrisburg40°15?52?N 76°52?0?W? / ?40.26444°N 76.86667°W
Rhode Island	State	US-RI	RI	44	RI	RI	R.I.	R.I.	R.I. & P.P.	Providence41°49?51?N 71°24?54?W? / ?41.83083°N 71.41500°W
South Carolina	State	US-SC	SC	45	SC	SC	S.C.	S.C.	S. Car.	Columbia34°0?1.56?N 81°1?59.33?W? / ?34.0004333°N 81.0331472°W
South Dakota	State	US-SD	SD	46	SD	SD	S. Dak.	S.D.	SoDak	Pierre44°22?1.8?N 100°20?46.87?W? / ?44.367167°N 100.3463528°W
Tennessee	State	US-TN	TN	47	TN	TN	Tenn.	Tenn.		Nashville36°9?57?N 86°47?3?W? / ?36.16583°N 86.78417°W
Texas	State	US-TX	TX	48	TX	TX	Tex.	Texas		Austin30°16?29?N 97°44?26?W? / ?30.27472°N 97.74056°W
Utah	State	US-UT	UT	49	UT	UT	Utah	Utah	Ut.[1]	Salt Lake City40°46?38?N 111°53?17?W? / ?40.77722°N 111.88806°W
Vermont	State	US-VT	VT	50	VT	VT	Vt.	Vt.	Verm.[4]	Montpelier44°15?44?N 72°34?51?W? / ?44.26222°N 72.58083°W
Virginia	State	US-VA	VA	51	VA	VA	Va.	Va.	Virg.	Richmond37°32?19.53?N 77°26?0.94?W? / ?37.5387583°N 77.4335944°W
Washington	State	US-WA	WA	53	WA	WN	Wash.	Wash.	Wn.[5]	Olympia47°02?07?N 122°54?23?W? / ?47.03528°N 122.90639°W
West Virginia	State	US-WV	WV	54	WV	WV	W. Va.	W.Va.	"W.V., W. Virg."	Charleston38°20?11?N 81°36?44?W? / ?38.33639°N 81.61222°W
Wisconsin	State	US-WI	WI	55	WI	WS	Wis.	Wis.	Wisc.	Madison43°4?28?N 89°23?5?W? / ?43.07444°N 89.38472°W
Wyoming	State	US-WY	WY	56	WY	WY	Wyo.	Wyo.		Cheyenne41°8?25?N 104°49?11?W? / ?41.14028°N 104.81972°W
American Samoa	Insular area (Territory)	ASASM016US-AS	AS	60	AS	AS	A.S.			
Guam	Insular area (Territory)	GUGUM316US-GU	GU	66	GU	GU	Guam			
Northern Mariana Islands	Insular area (Commonwealth)	MPMNP580US-MP	MP	69	MP	CM	M.P.		CNMI[6]	
Puerto Rico	Insular area (Commonwealth)	PRPRI630US-PR	PR	72	PR	PR	P.R.			
U.S. Virgin Islands	Insular area (Territory)	VIVIR850US-VI	VI	78	VI	VI	V.I.		U.S.V.I.	
U.S. Minor Outlying Islands	Insular areas	UMUMI581US-UM	UM	74						
Baker Island	island	UM-81		81					XB[7]	
Howland Island	island	UM-84		84					XH[7]	
Jarvis Island	island	UM-86		86					XQ[7]	
Johnston Atoll	atoll	UM-67		67					XU[7]	
Kingman Reef	atoll	UM-89		89					XM[7]	
Midway Islands	atoll	UM-71		71					QM[7]	
Navassa Island	island	UM-76		76					XV[7]	
Palmyra Atoll[c]	atoll[c]	UM-95		95					XL[7]	
Wake Island	atoll	UM-79		79					QW[7]	
Micronesia	Freely associated state	FMFSM583	FM	64	FM					
Marshall Islands	Freely associated state	MHMHL584	MH	68	MH					
Palau	Freely associated state	PWPLW585	PW	70	PW					
U.S. Armed Forces – Americas[d]	US military mail code				AA					
U.S. Armed Forces – Europe[e]	US military mail code				AE					
U.S. Armed Forces – Pacific[f]	US military mail code				AP					
Northern Mariana Islands	Obsolete postal code[g]				CM					
Panama Canal Zone	Obsolete postal code	PZPCZ594			CZ					
Nebraska	Obsolete postal code[h]				NB					
Philippine Islands	Obsolete postal code	PHPHL608[8]			PI					
Trust Territory of the Pacific Islands	Obsolete postal code	PCPCI582			TT					
